timestamp,open,high,low,close,volume
2024-01-01T00:59:59.999000Z,42283.58000000,42554.57000000,42261.02000000,42475.23000000,1271.68108000
2024-01-01T01:59:59.999000Z,42475.23000000,42775.00000000,42431.65000000,42613.56000000,1196.37856000
2024-01-01T02:59:59.999000Z,42613.57000000,42638.41000000,42500.00000000,42581.10000000,685.21980000
2024-01-01T03:59:59.999000Z,42581.09000000,42586.64000000,42230.08000000,42330.49000000,794.80391000
2024-01-01T04:59:59.999000Z,42330.50000000,42399.99000000,42209.46000000,42399.99000000,715.41760000
2024-01-01T05:59:59.999000Z,42399.98000000,42406.00000000,42180.77000000,42234.01000000,736.53152000
2024-01-01T06:59:59.999000Z,42234.01000000,42424.82000000,42208.68000000,42396.69000000,601.37250000
2024-01-01T07:59:59.999000Z,42396.69000000,42500.00000000,42396.68000000,42492.46000000,653.67718000
2024-01-01T08:59:59.999000Z,42492.46000000,42556.50000000,42452.58000000,42549.99000000,427.19365000
2024-01-01T09:59:59.999000Z,42550.00000000,42699.32000000,42537.18000000,42649.69000000,879.62491000
2024-01-01T10:59:59.999000Z,42649.69000000,42749.36000000,42628.00000000,42691.10000000,856.81851000
2024-01-01T11:59:59.999000Z,42691.10000000,42762.39000000,42605.21000000,42690.20000000,785.16567000
2024-01-01T12:59:59.999000Z,42690.21000000,42780.00000000,42611.45000000,42648.38000000,785.52851000
2024-01-01T13:59:59.999000Z,42648.37000000,42748.00000000,42612.76000000,42715.54000000,497.20240000
2024-01-01T14:59:59.999000Z,42715.54000000,42715.55000000,42580.00000000,42612.24000000,711.01152000
2024-01-01T15:59:59.999000Z,42612.24000000,42847.07000000,42586.51000000,42783.05000000,942.70163000
2024-01-01T16:59:59.999000Z,42783.05000000,42856.00000000,42664.42000000,42725.15000000,918.71056000
2024-01-01T17:59:59.999000Z,42725.15000000,42824.90000000,42704.42000000,42812.70000000,677.33678000
2024-01-01T18:59:59.999000Z,42812.71000000,43208.86000000,42812.70000000,43111.10000000,2143.30897000
2024-01-01T19:59:59.999000Z,43111.10000000,43550.00000000,43103.64000000,43517.99000000,1947.61533000
2024-01-01T20:59:59.999000Z,43517.98000000,43829.99000000,43510.71000000,43687.86000000,2905.07295000
2024-01-01T21:59:59.999000Z,43687.85000000,43792.59000000,43480.76000000,43619.21000000,1541.59126000
2024-01-01T22:59:59.999000Z,43619.22000000,43661.10000000,43361.60000000,43529.93000000,1024.36372000
2024-01-01T23:59:59.999000Z,43529.94000000,44184.10000000,43529.93000000,44179.55000000,3475.97051000
2024-01-02T00:59:59.999000Z,44179.55000000,45200.00000000,44148.34000000,45056.00000000,6986.25967000
2024-01-02T01:59:59.999000Z,45056.00000000,45372.79000000,44686.00000000,44855.96000000,4397.86376000
2024-01-02T02:59:59.999000Z,44855.96000000,45381.42000000,44855.95000000,45378.96000000,3016.04235000
2024-01-02T03:59:59.999000Z,45378.96000000,45500.00000000,45131.10000000,45402.38000000,2693.12081000
2024-01-02T04:59:59.999000Z,45402.38000000,45468.99000000,45170.00000000,45179.80000000,2268.27572000
2024-01-02T05:59:59.999000Z,45179.80000000,45324.72000000,45121.96000000,45179.48000000,1617.28420000
2024-01-02T06:59:59.999000Z,45179.48000000,45308.15000000,45130.00000000,45168.75000000,1390.33832000
2024-01-02T07:59:59.999000Z,45168.75000000,45643.75000000,45168.74000000,45455.53000000,3112.52478000
2024-01-02T08:59:59.999000Z,45455.52000000,45852.93000000,45326.60000000,45759.30000000,3323.21707000
2024-01-02T09:59:59.999000Z,45759.30000000,45879.63000000,45631.10000000,45673.48000000,2096.46195000
2024-01-02T10:59:59.999000Z,45673.48000000,45711.10000000,45431.52000000,45584.99000000,2069.22249000
2024-01-02T11:59:59.999000Z,45585.00000000,45698.67000000,45200.00000000,45433.99000000,2538.49307000
2024-01-02T12:59:59.999000Z,45433.99000000,45589.68000000,45271.04000000,45301.99000000,2128.11147000
2024-01-02T13:59:59.999000Z,45302.00000000,45705.80000000,45264.39000000,45637.93000000,2253.76868000
2024-01-02T14:59:59.999000Z,45637.92000000,45800.00000000,44970.00000000,45258.73000000,4553.21243000
2024-01-02T15:59:59.999000Z,45258.73000000,45349.98000000,44833.33000000,45184.82000000,4301.03657000
2024-01-02T16:59:59.999000Z,45184.83000000,45399.84000000,44890.11000000,45357.84000000,3052.23783000
2024-01-02T17:59:59.999000Z,45357.84000000,45382.08000000,44950.48000000,44966.15000000,2540.00308000
